Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
WMD,4.84210526315789,18,"['Relaxed 100', 'Happy 95.3125', 'Euphoric 93.75', 'Sleepy 90.625', 'Tingly 90.625', 'Stress 100', 'Pain 98.4126984126984', 'Depression 95.2380952380952', 'Insomnia 90.4761904761905', 'Lack of Appetite 90.4761904761905', 'Dry Mouth 100', 'Dry Eyes 3.57142857142857']","WMD by Vancouver Island Seed Company is a high-yielding indica with potent Canadian roots. It exhibits a unique aroma of sweet berry, musk, and hashy spice that remains earthy on the palate after exhaling. The effects are initially cerebral, but they later settle down into the body to relax and soothe limbs. This cross of Big Bud and Fucking Incredible may offer relief from depression, minor physical pain, and migraines","['Berry', 'Sweet', 'Earthy']","[100.0, 21.6897856242119, 4.2875157629256, 0.0, 0.0, 0.0]",,0.89
WSU,4.4375,16,"['Relaxed 100', 'Euphoric 70', 'Hungry 60', 'Happy 50', 'Sleepy 40', 'Pain 100', 'Stress 100', 'Depression 60', 'Insomnia 60', 'Lack of Appetite 60', 'Dry Mouth 100', 'Dry Eyes 50']","WSU is a Washington-grown rendition of the indica strain Chemo and it’s waiting for you on the shelves of recreational stores state-wide. Named in homage to one of two state universities in Washington, don’t confuse this strain with the UW indica, whose name is derived from the rivaling university across the mountains. Its effects are described as relaxed and spacey. Citrus and berry flavors invade the palate on the inhale, providing a flavorful introduction to WSU’s heavy indica effects.","['Pine', 'Earthy', 'Berry']","[100.0, 54.5768566493955, 9.15371329879102, 0.0, 9.15371329879102, 0.0]",23.0,1.0
WTF,5.0,7,"['Happy 100', 'Relaxed 97.2972972972973', 'Uplifted 91.8918918918919', 'Euphoric 89.1891891891892', 'Creative 8.10810810810811', 'Pain 100', 'Depression 11.1111111111111', 'Stress 11.1111111111111', 'Inflammation 8.33333333333333', 'Insomnia 8.33333333333333', 'Dry Eyes 100']","WTF by White Tygh Farms is an odd cross of CBD-dominant genetics that sprouted a THC-dominant flower. Naturally, White Tygh Farms exclaimed, “WTF!” and thus the strain was born. This cross of Harlequin, Sour Tsunami, and Cannatonic leans on recessive genetic qualities that are easy on the body while energizing the mind. Master grower Cole Fritcher had difficulty describing the aroma, but articulated its oddity and uniqueness with pride. Think Tang powder sweetened with essence of blueberries and composted earth. WTF hits mid-level in terms of potency while helping to soothe anxiety and minor physical pain.","['Earthy', 'Pungent', 'Citrus']","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.4
Wabanaki,4.85714285714286,21,"['Happy 100', 'Uplifted 98.159509202454', 'Focused 85.8895705521472', 'Euphoric 65.6441717791411', 'Energetic 50', 'Fatigue 100', 'Lack of Appetite 75.2066115702479', 'Depression 74.3801652892562', 'Stress 74.3801652892562', 'Pain 70.2479338842975', 'Anxious 100', 'Dry Mouth 50']","Wabanaki is a clear-headed, creative flower created by Organigram of Canada. Offering high levels of the terpenes pinene, caryophyllene and myrcene, Wabanaki is often an excellent strain for boosting energy. Its aroma is a dense mixture of earthy, woody odors while the flavor is smooth and herbal. Wabanaki, which loosely translates to “People of the First Light,” represents a First Nations confederation of five Algonquian-speaking nations near the Eastern seaboard of Canada.","['Earthy', 'Spicy/Herbal', 'Pine']","[100.0, 21.0526315789474, 0.0, 5.26315789473684, 5.26315789473684, 0.0]",,0.11
Waipi'o Hapa,4.5,10,"['Energetic 100', 'Uplifted 85.7142857142857', 'Focused 71.4285714285714', 'Happy 71.4285714285714', 'Creative 57.1428571428572', 'Pain 100', 'Stress 100', 'Depression 33.3333333333333', 'Fatigue 33.3333333333333', 'Dry Mouth 100', 'Dry Eyes 50', 'Paranoid 50']","This charming sativa came out of the Waipi’o Valley in the northern part of the Big Island in Hawaii. A great strain for cultivators, Waipi’o Hapa grows quickly for a sativa and typically flowers in 8 to 9 weeks. In true sativa fashion, this strain has energizing effects. Great for use on a lazy summer afternoon, Waipi’o Hapa features a pleasant lime aroma.","['Sweet', 'Lime', 'Mint']","[100.0, 62.4765478424015, 12.5703564727955, 0.0, 0.0, 12.5703564727955]",,0.02
Wakanda OG,5.0,6,"['Euphoric 100', 'Happy 100', 'Relaxed 82.3529411764706', 'Creative 52.9411764705882', 'Talkative 47.0588235294118', 'Depression 100', 'Pain 78.5714285714286', 'Stress 78.5714285714286', 'Insomnia 57.1428571428571', 'Cramps 21.4285714285714', 'Dizzy 100', 'Dry Mouth 100']","Bred by Hoosier Farms in California, Wakanda OG is a hybrid cross between Original Glue (GG4), OG Kush, and Cookies. Drawing from its legendary parents, Wakanda OG provides a powerful yet well-balanced body high that hits within minutes. Expect a skunky but slightly sweet smell with a thick, earthy smoke. Wakanda OG is a great strain for anyone looking for a sedating high that they won’t soon forget.","['Apple', 'Spicy/Herbal', 'Sweet']","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.56
Waldo,4.0,4,"['Creative 100', 'Tingly 66.6666666666667', 'Euphoric 66.6666666666667', 'Hungry 66.6666666666667', 'Uplifted 33.3333333333333', 'Nausea 100', 'Pain 100', 'Depression 50', 'Eye Pressure 50', 'Lack of Appetite 50', 'Dizzy 100', 'Headache 50', 'Paranoid 50']","Waldo was bred in the Netherlands by Apothecary Genetics, and perhaps because of this upbringing, these descendents of Pez and Purple Cherry do better in cooler climates than most. They truly flourish in outdoor tropical climates, where they can grow over 6 feet, but indoors these plants will stay medium height and grow wide and branchy. Flowering usually occurs at 8 or 9 weeks. Though this hybrid tends to be sativa dominant, the long-lasting high is generally more cerebral with enough indica kick to ease tension. These energetic effects may not make Waldo a good choice for night time or those treating anxiety. Instead, Waldo’s spicy flowers might be the perfect addition to a sociable evening.","['Spicy/Herbal', 'Earthy', 'Pungent']","[25.0, 25.0, 50.0, 0.0, 0.0, 100.0]",17.0,0.5
Walker Kush,4.585365853658541,41,"['Relaxed 100', 'Uplifted 83.3528722157093', 'Happy 76.6705744431418', 'Tingly 69.0504103165299', 'Euphoric 37.6318874560375', 'Stress 100', 'Depression 71.3395638629283', 'Fatigue 61.993769470405', 'Pain 44.2367601246106', 'Insomnia 34.8909657320872', 'Dry Mouth 100', 'Dizzy 77.6785714285714', 'Anxious 73.2142857142857', 'Dry Eyes 13.3928571428571', 'Headache 4.46428571428571']","Walker Kush is the Rare Dankness cross of Albert Walker and Rare Dankness #1. These stimulating genetics blend Afghan Skunk, Ghost OG, and Chemdawg into a multifaceted indica-dominant hybrid that uplifts while remaining grounded in soothing body effects. Happy yet laidback, this strain is preferred for ADD/ADHD, depression, and PTSD.","['Diesel', 'Woody', 'Earthy']","[100.0, 29.7994269340974, 5.44412607449857, 2.72206303724928, 5.44412607449857, 0.0]",18.0,0.56
Wally OG,4.28571428571429,7,"['Relaxed 100', 'Happy 83.3333333333333', 'Sleepy 66.6666666666667', 'Creative 33.3333333333333', 'Focused 33.3333333333333', 'Headaches 100', 'Pain 100', 'Insomnia 75', 'Stress 50', 'Cramps 25', 'Dry Mouth 100', 'Dry Eyes 50', 'Headache 50']","Wally OG, said to be a Ghost OG and Phantom OG cross, is an indica-dominant hybrid with potent full-body effects.","['Flowery', 'Earthy', 'Butter']","[100.0, 60.0, 20.0, 0.0, 20.0, 20.0]",25.0,0.5549999999999999
Walrus Kush,4.33333333333333,5,"['Happy 100', 'Giggly 60', 'Uplifted 40', 'Creative 40', 'Hungry 40', 'Nausea 100', 'Pain 100', 'Stress 100', 'Depression 50', 'Insomnia 50', 'Dry Mouth 100', 'Headache 25']","While normally difficult to ignore, this Walrus is one sneaky gal. Upon first taste, many users may not feel the Walrus’s effects; however, give it a few minutes and this strain will surprise you in ways you never thought possible. Perhaps slightly indica-dominant, Walrus Kush may not be the best medication for getting things done. Fairly well-balanced, it’s a giggly and sociable strain while providing deep, body-relaxing effects at the same time. Great for users who suffer from stress or migraines, Walrus just might be worth a weekend trip to the dispensary.",[],"[40.0479616306954, 100.0, 19.9040767386091, 0.0, 0.0, 79.8561151079137]",,0.6
Walter White,4.74,50,"['Happy 100', 'Relaxed 83.2292595896521', 'Uplifted 71.0972346119536', 'Euphoric 58.9652096342551', 'Energetic 49.1525423728813', 'Stress 100', 'Depression 82.8393135725429', 'Pain 54.6021840873635', 'Inflammation 46.4898595943838', 'Lack of Appetite 31.3572542901716', 'Dry Mouth 100', 'Dry Eyes 96.1424332344214', 'Dizzy 3.85756676557864', 'Anxious 3.85756676557864']","Walter White by Mephisto Genetics is a hybrid cross created out of fascination. After seeing a glittering cut of The White, Mephisto Genetics set out to build something special off the brilliant trichome production of that particular plant. By breeding The White with a mysterious autoflowering sativa, Mephisto Genetic created Walter White, one of the most potent strains on their roster. The aroma and taste are citrusy and creamy on the exhale.","['Earthy', 'Woody', 'Citrus']","[100.0, 35.3448275862069, 6.17816091954023, 0.0, 2.01149425287356, 0.0]",19.0,0.5
Wappa,4.34558823529412,139,"['Relaxed 100', 'Happy 84.5057557167918', 'Euphoric 45.8557801098205', 'Sleepy 41.5096689814094', 'Giggly 36.9351975835332', 'Stress 100', 'Depression 86.7398051688639', 'Insomnia 71.3438431517163', 'Pain 54.2607787099352', 'Fatigue 51.2092437233029', 'Dry Mouth 100', 'Dry Eyes 25.2183604767537', 'Paranoid 18.5083249931762', 'Anxious 18.0647802747703', 'Dizzy 12.6853789464107']","Wappa is a 60% indica-dominant hybrid bred by Paradise Seeds that delivers happy, uplifting effects alongside an intense fruity flavor.","['Sweet', 'Earthy', 'Citrus']","[100.0, 53.7614678899083, 16.3302752293578, 8.62385321100918, 0.917431192660551, 3.85321100917431]",17.5,0.575
Warlock,3.96969696969697,66,"['Relaxed 100', 'Happy 66.8513388734995', 'Uplifted 49.3074792243767', 'Euphoric 49.3074792243767', 'Focused 41.5512465373961', 'Stress 100', 'Pain 98.3815028901734', 'Depression 71.5606936416185', 'Muscle Spasms 57.8034682080925', 'Inflammation 47.1676300578035', 'Dry Mouth 100', 'Dry Eyes 87.3589164785553', 'Dizzy 9.48081264108352', 'Paranoid 7.90067720090294', 'Headache 6.32054176072235']","Warlock is an indica-dominant strain bred by Magus Genetics through crossing Skunk and Afghani varieties. Its stimulating, focused buzz sharpens the mind against inattention and boredom, and may help those struggling with ADD/ADHD. With a sweet and sour aroma, Warlocks ushers in its mellow stress-relieving and engaged effects. Some Warlock varieties have been bred to contain higher levels of CBD to ward off pain, inflammation, and other ailments. Indoor Warlock plants finish flowering in 55 to 60 days, or at the end of October in outdoor gardens.","['Pine', 'Earthy', 'Sweet']","[76.3157894736842, 100.0, 39.4736842105263, 7.89473684210526, 5.26315789473684, 10.5263157894737]",16.0,0.575
Washing Machine,4.375,8,"['Relaxed 100', 'Euphoric 74.1935483870968', 'Happy 70.9677419354839', 'Hungry 70.9677419354839', 'Sleepy 54.8387096774194', 'Pain 100', 'Stress 100', 'Headaches 66.6666666666667', 'Insomnia 66.6666666666667', 'Fatigue 58.3333333333333', 'Dry Eyes 100', 'Dry Mouth 100']","Washing Machine by Ripper Seeds is a funky cut created by crossing Exodus Cheese with Bubba Kush. It emits a delicate aroma of moist earth and anise, with effects that lay heavily on the body. This strain’s stout physical effects are designed for heavyweight cannabis consumers and may overwhelm unseasoned smokers. It has a snappy 60-65 day flowering time, and the breeder recommends truncating its vegetative cycle due to its incredible desire to stretch. Washing Machine won 3rd Prize for Outdoor Flower at the 2017 THC Cup.","['Earthy', 'Cheese', 'Spicy/Herbal']","[100.0, 12.5171939477304, 0.0, 0.0, 25.0343878954608, 0.0]",18.0,0.8
Watermelon,4.43292682926829,165,"['Happy 100', 'Relaxed 99.2094861660079', 'Sleepy 89.802371541502', 'Euphoric 87.2727272727273', 'Creative 61.501976284585', 'Stress 100', 'Pain 86.3818424566088', 'Insomnia 82.9105473965287', 'Depression 73.6982643524699', 'Headaches 70.3604806408545', 'Dry Eyes 100', 'Dry Mouth 80.7256235827664', 'Anxious 28.5714285714286', 'Dizzy 25.6235827664399', 'Paranoid 20.4081632653061']","Watermelon is an 80% indica strain. Its large, dense buds are valued for their high THC content and relaxing effects, useful as a sleeping aid or appetite stimulant. As the name suggests, this strain has a distinct fruity watermelon flavor profile, reminiscent of grape with hashy undertones. Watermelon is prized by growers for its high yield and potency, requiring 55 to 60 days flowering time.","['Sweet', 'Tropical', 'Citrus']","[100.0, 66.1654135338346, 15.4135338345865, 2.44360902255639, 0.75187969924812, 3.19548872180451]",18.0,0.8
Webster,4.3,10,"['Energetic 100', 'Aroused 66.6666666666667', 'Euphoric 66.6666666666667', 'Uplifted 41.6666666666667', 'Happy 41.6666666666667', 'Depression 100', 'Fatigue 100', 'Stress 75', 'Pain 25', 'Eye Pressure 12.5', 'Dry Eyes 100', 'Anxious 100']","Webster is a stimulating sativa with uplifting elements off the get-go. This strain is immediately motivating, encouraging physical activity from chores to hitting the gym. Flavors of citrus and sweetness are noted on the exhale, and are accompanied by appetite stimulation and an “empty-head” type of stress relief. Webster is ideal for consumers suffering from stress and fatigue, but should be avoided before bed.","['Pineapple', 'Citrus', 'Spicy/Herbal']","[100.0, 100.0, 40.0479616306954, 0.0, 0.0, 0.0]",19.0,0.30000000000000004
Wedding Cake,4.6319612590799,414,"['Relaxed 100', 'Happy 95.6648201107248', 'Euphoric 69.2499601616836', 'Uplifted 65.6731433202709', 'Hungry 41.562887138478', 'Stress 100', 'Depression 79.3378642014899', 'Pain 66.7312041210322', 'Lack of Appetite 39.8383544705048', 'Insomnia 39.3845437263587', 'Dry Mouth 100', 'Dry Eyes 57.2404963273879', 'Dizzy 37.5820178662133', 'Anxious 24.3087416602883', 'Headache 21.3690666054512']","Wedding Cake, also known as Pink Cookies, is the familial genetic cross of Girl Scout Cookies and Cherry Pie. This delectable treat is rich with tangy sweet earth and pepper, taking notes and dimension from its OG and Durban Poison parentage. Enjoy this double dose of dense dankness with care, as certain farms have noted THC content upwards of 25% or greater.","['Sweet', 'Earthy', 'Vanilla']","[100.0, 27.2214386459803, 8.74471086036671, 0.705218617771509, 4.23131170662905, 0.282087447108604]",16.0,0.5
Wedding Crasher,4.64285714285714,14,"['Focused 100', 'Relaxed 100', 'Talkative 71.4285714285714', 'Uplifted 71.4285714285714', 'Happy 57.1428571428571', 'Pain 100', 'Stress 75', 'Depression 50', 'Inflammation 50', 'Muscle Spasms 50', 'Dry Mouth 100']","Produced by Symbiotic Genetics, Wedding Crasher is a beautiful cross of Wedding Cake and Purple Punch. By mixing the smooth vanilla flavors of Wedding Cake with the sweet grape notes of Purple Punch, Symbiotic has developed a mellow, earthy strain with sharp gassy highlights and a sweet berry finish.","['Sweet', 'Berry', 'Grape']","[100.0, 12.5287356321839, 2.52873563218391, 0.0, 0.0, 0.0]",,0.53
Weebe’s World,4.0,2,"['Tingly 100', 'Uplifted 100', 'Creative 100', 'Euphoric 100', 'Focused 100', 'Eye Pressure 100', 'Headaches 100', 'Lack of Appetite 100', 'Dizzy 100', 'Dry Eyes 100', 'Headache 100', 'Paranoid 100']","Weebe’s World by Mr. Mack’s Snacks is a special cross of Mr. Mack's Black Domina and the powerhouse, Gelato #33. This strain hits with an intensely heady buzz on the onset that smooths out into a deep, relaxing body high. If you have plans or things to do, this strain is not for you. The comfortable couchlock is a great option for gamers, cinephiles, and patients suffering from insomnia, lack of appetite, and anxiety.",[],"[100.0, 0.0, 33.3333333333333, 0.0, 0.0, 0.0]",,0.92
